"Schefflera_morototoni" "Aegiphila_sellowiana" "Lantana_camara" "Citharexylum_myrianthum" "Cordia_curassavica" "Tabernaemontana_donnell-smithii" "Solanum_viscosissimum" "Gaylussacia_virgata" "Myrsine_gardneriana" "Myrsine_coriacea" "Myrsine_umbellata" "Guapira_opposita" "Psittacanthus_robustus" "Struthanthus_flexicaulis" "Copaifera_langsdorffii" "Ficus_luschnathiana" "Ficus_insipida" "Cecropia_glaziovii" "Coussapoa_microcarpa" "Trema_micrantha" "Clusia_criuva" "Clusia_hilariana" "Casearia_decandra" "Casearia_sylvestris" "Erythroxylum_ambiguum" "Alchornea_triplinervia" "Pera_glabrata" "Humiria_balsamifera" "Sloanea_guianensis" "Cabralea_canjerana" "Guarea_macrophylla" "Trichilia_martiana" "Paullinia_carpopoda" "Matayba_elaeagnoides" "Cupania_oblongifolia" "Cupania_vernalis" "Protium_spruceanum" "Protium_heptaphyllum" "Schinus_terebinthifolia" "Tapirira_guianensis" "Miconia_theaezans" "Miconia_pepericarpa" "Miconia_budlejoides" "Miconia_prasina" "Miconia_pusilliflora" "Miconia_cuspidata" "Eugenia_umbelliflora" "Eugenia_uniflora" "Myrceugenia_myrcioides" "Psidium_guajava" "Xylopia_aromatica" "Guatteria_sellowiana" "Cymbopetalum_baillonii" "Magnolia_ovata" "Virola_sebifera" "Ocotea_pulchella" "Nectandra_megapotamica" "Cinnamomum_triplinerve" "Persea_pyrifolia" "Piper_tectoniifolium"
"Clusia_criuva" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 231.571129 231.57113 231.57113 231.571129 231.571129 231.57113 0 2.896458 189.730557 189.730558 189.823171 205.215517 205.215518 207.021774 222.852854 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Clusia_hilariana" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 231.571129 231.57113 231.57113 231.571129 231.571129 231.57113 2.896458 0 189.730557 189.730558 189.823171 205.215517 205.215518 207.021774 222.852854 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Casearia_decandra" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 231.571128 231.571129 231.571129 231.571128 231.571128 231.571129 189.730557 189.730557 0 25.258359 189.82317 205.215516 205.215517 207.021773 222.852853 237.157207 237.157207 237.157207 237.157206 237.157206 237.157206 237.157207 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Casearia_sylvestris" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 231.571129 231.57113 231.57113 231.571129 231.571129 231.57113 189.730558 189.730558 25.258359 0 189.823171 205.215517 205.215518 207.021774 222.852854 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Erythroxylum_ambiguum" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 231.571128 231.571129 231.571129 231.571128 231.571128 231.571129 189.823171 189.823171 189.82317 189.823171 0 205.215516 205.215517 207.021773 222.852853 237.157207 237.157207 237.157207 237.157206 237.157206 237.157206 237.157207 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Alchornea_triplinervia" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 231.571128 231.571129 231.571129 231.571128 231.571128 231.571129 205.215517 205.215517 205.215516 205.215517 205.215516 0 148.461587 207.021773 222.852853 237.157207 237.157207 237.157207 237.157206 237.157206 237.157206 237.157207 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 237.157207 237.157207 237.157206 237.157207 237.157207 237.157207 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Pera_glabrata" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 231.571129 231.57113 231.57113 231.571129 231.571129 231.57113 205.215518 205.215518 205.215517 205.215518 205.215517 148.461587 0 207.021774 222.852854 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Humiria_balsamifera" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 231.571129 231.57113 231.57113 231.571129 231.571129 231.57113 207.021774 207.021774 207.021773 207.021774 207.021773 207.021773 207.021774 0 222.852854 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Sloanea_guianensis" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 231.571129 231.57113 231.57113 231.571129 231.571129 231.57113 222.852854 222.852854 222.852853 222.852854 222.852853 222.852853 222.852854 222.852854 0 237.157208 237.157208 237.157208 237.157207 237.157207 237.157207 237.157208 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 237.157208 237.157208 237.157207 237.157208 237.157208 237.157208 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Cabralea_canjerana" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 0 47.43557 66.951472 158.296803 158.296803 158.296803 158.296804 159.836681 159.836682 159.836682 159.836682 233.986391 233.986392 233.986392 233.986392 233.986392 233.986392 233.986391 233.986392 233.986392 233.986392 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Guarea_macrophylla" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 47.43557 0 66.951472 158.296803 158.296803 158.296803 158.296804 159.836681 159.836682 159.836682 159.836682 233.986391 233.986392 233.986392 233.986392 233.986392 233.986392 233.986391 233.986392 233.986392 233.986392 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Trichilia_martiana" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 66.951472 66.951472 0 158.296803 158.296803 158.296803 158.296804 159.836681 159.836682 159.836682 159.836682 233.986391 233.986392 233.986392 233.986392 233.986392 233.986392 233.986391 233.986392 233.986392 233.986392 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Paullinia_carpopoda" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 237.157206 237.157207 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 158.296803 158.296803 158.296803 0 121.532442 121.532442 121.532443 159.83668 159.836681 159.836681 159.836681 233.98639 233.986391 233.986391 233.986391 233.986391 233.986391 233.98639 233.986391 233.986391 233.986391 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Matayba_elaeagnoides" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 237.157206 237.157207 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 158.296803 158.296803 158.296803 121.532442 0 33.3609979999998 33.3609989999999 159.83668 159.836681 159.836681 159.836681 233.98639 233.986391 233.986391 233.986391 233.986391 233.986391 233.98639 233.986391 233.986391 233.986391 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Cupania_oblongifolia" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 237.157206 237.157207 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 158.296803 158.296803 158.296803 121.532442 33.3609979999998 0 27.7686969999999 159.83668 159.836681 159.836681 159.836681 233.98639 233.986391 233.986391 233.986391 233.986391 233.986391 233.98639 233.986391 233.986391 233.986391 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Cupania_vernalis" 247.468474 247.468473 247.468474 247.468473 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 237.157207 237.157208 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 237.157207 237.157208 237.157207 237.157207 237.157208 237.157208 237.157208 158.296804 158.296804 158.296804 121.532443 33.3609989999999 27.7686969999999 0 159.836681 159.836682 159.836682 159.836682 233.986391 233.986392 233.986392 233.986392 233.986392 233.986392 233.986391 233.986392 233.986392 233.986392 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Protium_spruceanum" 247.468473 247.468472 247.468473 247.468472 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 237.157206 237.157207 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 237.157206 237.157207 237.157206 237.157206 237.157207 237.157207 237.157207 159.836681 159.836681 159.836681 159.83668 159.83668 159.83668 159.836681 0 15.5675270000001 103.118347 103.118347 233.98639 233.986391 233.986391 233.986391 233.986391 233.986391 233.98639 233.986391 233.986391 233.986391 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
