"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
48,46,30,42,43,34,23,34,31,25,0,39,18,44,23,38,33,3,28,25,38,44,23,19,29,45,33,9,42,39,35,36,25,18,28,39,52,33,32,34,40,33,22,28,28,28,37,45,39,23,36,18,41,32,36,28,17,34,34,36,46,25,39,14,38,38,33,33,20,36,46,8,34,30,28,32,27,31,11,33,35,43,37
53,51,47,47,48,25,40,47,44,42,39,0,29,49,40,57,38,38,33,38,21,49,30,36,42,36,38,40,47,44,48,19,38,35,33,44,57,46,15,47,31,46,35,41,41,41,42,8,2,40,49,35,4,37,21,41,40,47,39,41,51,42,22,37,43,43,46,12,37,27,51,39,39,35,41,37,40,36,40,46,18,48,20
38,36,26,32,33,24,19,26,23,21,18,29,0,34,19,36,23,17,18,17,28,34,13,15,21,35,23,19,32,29,27,26,17,14,18,29,42,25,22,26,30,25,14,20,20,20,27,35,29,19,28,14,31,22,26,20,19,26,24,26,36,21,29,16,28,28,25,23,16,26,36,18,24,20,20,22,19,21,19,25,25,33,27
40,14,52,36,37,44,45,52,49,47,44,49,34,0,45,62,23,43,22,43,48,42,35,41,47,55,27,45,42,43,53,46,43,40,26,33,12,51,42,52,50,51,40,46,46,46,37,55,49,45,54,40,51,40,46,46,45,52,42,30,50,47,49,42,32,36,51,43,42,46,38,44,42,30,46,26,45,31,45,51,45,11,47
49,47,25,43,44,35,18,35,32,20,23,40,19,45,0,41,34,22,29,26,39,45,24,12,30,46,34,24,43,40,36,37,26,13,29,40,53,34,33,35,41,34,23,29,29,29,38,46,40,14,37,13,42,33,37,29,24,35,35,37,47,20,40,21,39,39,34,34,17,37,47,23,35,31,29,33,28,32,24,34,36,44,38
66,64,48,60,61,52,41,52,49,43,38,57,36,62,41,0,51,37,46,43,56,62,41,37,47,63,51,39,60,57,53,54,43,36,46,57,70,51,50,52,58,51,40,46,46,46,55,63,57,41,54,36,59,50,54,46,39,52,52,54,64,43,57,36,56,56,51,51,38,54,64,38,52,48,46,50,45,49,39,51,53,61,55
29,25,41,25,26,33,34,41,38,36,33,38,23,23,34,51,0,32,11,32,37,31,24,30,36,44,16,34,31,32,42,35,32,29,15,22,31,40,31,41,39,40,29,35,35,35,26,44,38,34,43,29,40,29,35,35,34,41,31,19,39,36,38,31,21,25,40,32,31,35,27,33,31,19,35,15,34,20,34,40,34,22,36
47,45,29,41,42,33,22,33,30,24,3,38,17,43,22,37,32,0,27,24,37,43,22,18,28,44,32,8,41,38,34,35,24,17,27,38,51,32,31,33,39,32,21,27,27,27,36,44,38,22,35,17,40,31,35,27,16,33,33,35,45,24,38,13,37,37,32,32,19,35,45,7,33,29,27,31,26,30,10,32,34,42,36
26,24,36,16,17,28,29,36,33,31,28,33,18,22,29,46,11,27,0,27,32,26,19,25,31,39,7,29,26,27,37,30,27,24,10,13,30,35,26,36,34,35,24,30,30,30,21,39,33,29,38,24,35,24,30,30,29,36,26,10,34,31,33,26,12,20,35,27,26,30,24,28,26,14,30,8,29,15,29,35,29,21,31
47,45,33,41,42,33,26,17,28,28,25,38,17,43,26,43,32,24,27,0,37,43,22,22,26,44,32,26,41,38,18,35,22,21,27,38,51,30,31,11,39,30,19,25,25,25,36,44,38,26,13,21,40,31,35,13,26,31,33,35,45,28,38,23,37,37,18,32,23,35,45,25,33,29,25,31,12,30,26,16,34,42,36
