"","Y","jj","J_1","J_2"
"225",4,25,34,3
"226",3,26,21,28
"227",2,27,15,47
"228",17,27,21,28
"229",2,27,69,79
"230",2,28,2,42
"231",1,28,2,52
"232",2,28,2,76
"233",2,28,4,14
"234",1,28,4,42
"235",1,28,6,47
"236",23,28,7,16
"237",1,28,9,71
"238",1,28,16,42
"239",56,28,19,77
"240",1,28,34,3
"241",1,28,38,1
"242",1,29,6,47
"243",5,29,7,14
"244",1,29,7,40
"245",3,30,64,31
"246",1,31,8,52
"247",1,31,15,10
"248",1,31,15,56
"249",9,31,22,42
"250",3,32,56,66
"251",13,32,57,66
"252",1,33,9,25
"253",4,34,8,15
"254",7,34,15,64
"255",1,34,15,67
"256",1,34,34,3
"257",6,34,49,42
"258",2,34,50,42
"259",9,35,24,39
"260",1,36,1,56
"261",1,36,4,3
"262",1,36,4,83
"263",41,36,8,11
"264",84,36,8,15
"265",54,36,8,17
"266",3,36,8,28
"267",22,36,8,30
"268",56,36,8,45
"269",18,36,8,47
"270",276,36,8,52
"271",8,36,8,56
"272",3,36,8,60
"273",4,36,11,11
"274",16,36,44,52
"275",9,36,46,42
"276",9,36,48,40
"277",1,36,49,42
"278",24,36,61,80
"279",4,36,65,76
"280",1,37,55,61
"281",18,38,1,5
"282",4,38,1,41
"283",39,38,1,43
"284",2,38,1,62
"285",4,38,2,5
"286",1,38,2,7
"287",10,38,2,16
"288",8,38,2,19
"289",15,38,2,20
"290",1,38,2,28
"291",2,38,2,42
"292",3,38,2,49
"293",7,38,2,52
"294",1,38,2,66
"295",12,38,2,68
"296",4,38,2,76
"297",1,38,2,81
"298",8,38,7,40
"299",6,38,8,17
"300",8,38,15,10
"301",6,38,15,24
"302",2,38,15,75
"303",2,38,21,28
"304",6,38,22,39
"305",6,38,22,42
"306",1,38,22,47
"307",3,38,22,52
"308",7,38,29,47
"309",7,38,35,16
"310",3,38,39,46
"311",2,38,45,47
"312",1,38,49,42
"313",7,38,60,21
"314",1,39,1,62
"315",1,39,5,45
"316",1,39,6,35
"317",2,39,6,74
"318",65,39,7,40
"319",4,39,15,10
"320",2,39,15,24
"321",1,39,15,53
"322",1,39,15,56
"323",1,39,15,64
"324",1,39,20,80
"325",3,39,22,52
"326",3,39,23,80
"327",2,39,31,3
"328",9,39,38,10
"329",1,39,38,75
"330",2,39,40,58
"331",2,39,44,20
"332",1,39,44,47
"333",2,39,44,52
"334",5,39,45,3
"335",2,39,45,47
"336",7,39,52,8
"337",2,39,69,79
"338",127,40,1,3
"339",5,40,1,5
"340",86,40,1,8
"341",33,40,1,11
"342",1,40,1,32
"343",5,40,1,41
"344",17,40,1,42
"345",16,40,1,43
"346",5,40,1,54
"347",7,40,1,55
"348",47,40,1,56
"349",2,40,1,62
"350",3,40,1,81
"351",68,40,1,83
"352",1,40,2,16
"353",1,40,2,20
"354",8,40,2,23
"355",4,40,2,28
"356",12,40,2,42
"357",4,40,2,45
"358",17,40,2,49
"359",3,40,2,50
"360",77,40,2,52
"361",2,40,2,68
"362",13,40,2,76
"363",7,40,2,80
"364",3,40,4,2
"365",5,40,4,3
"366",4,40,4,14
"367",1,40,4,20
"368",11,40,4,31
"369",12,40,4,42
"370",3,40,4,47
"371",6,40,4,79
"372",12,40,4,83
"373",25,40,7,40
"374",171,40,8,11
"375",6,40,8,15
"376",13,40,8,17
"377",1,40,8,28
"378",26,40,8,30
"379",13,40,8,37
"380",27,40,8,45
"381",48,40,8,47
"382",64,40,8,52
"383",4,40,8,67
"384",7,40,8,73
"385",1,40,9,3
"386",1,40,9,37
"387",3,40,9,67
"388",51,40,11,11
"389",20,40,13,3
"390",12,40,14,3
"391",1,40,15,2
"392",10,40,15,10
"393",8,40,15,24
"394",6,40,15,56
"395",6,40,16,42
"396",64,40,19,77
"397",28,40,20,28
"398",9,40,21,28
"399",116,40,22,39
"400",15,40,22,42
"401",26,40,22,47
"402",91,40,22,52
"403",68,40,23,80
"404",17,40,24,39
"405",7,40,25,79
"406",31,40,26,47
"407",19,40,30,42
"408",2,40,31,3
"409",10,40,32,18
"410",1,40,33,42
"411",22,40,34,3
"412",6,40,35,16
"413",1,40,36,2
"414",13,40,36,15
"415",4,40,36,30
"416",25,40,36,42
"417",2,40,36,45
"418",33,40,36,47
"419",1,40,36,67
"420",1,40,38,1
"421",4,40,38,10
"422",1,40,38,46
"423",24,40,38,79
"424",47,40,38,80
"425",28,40,43,42
"426",8,40,44,42
"427",15,40,44,52
"428",7,40,45,3
"429",10,40,45,47
"430",53,40,46,42
"431",8,40,48,40
"432",20,40,49,42
"433",17,40,50,42
"434",1,40,51,15
"435",15,40,52,8
"436",3,40,53,69
"437",24,40,56,66
"438",8,40,57,66
"439",12,40,59,42
"440",6,40,69,79
"441",18,40,70,11
"442",1,41,64,31
"443",17,41,65,76
"444",1,106,4,31
"445",4,106,4,42
"446",2,106,4,47
"447",1,106,4,83
"448",1,106,8,15
"449",1,106,8,45
"450",1,106,8,52
"451",1,106,8,56
"452",4,106,8,60
"453",1,42,21,28
"454",41,42,22,39
"455",12,42,45,47
"456",1,42,56,66
"457",2,42,57,66
"458",6,42,60,21
"459",46,43,1,3
"460",17,43,1,5
"461",21,43,1,8
"462",9,43,1,11
"463",21,43,1,32
"464",139,43,1,42
"465",2,43,1,55
"466",122,43,1,56
"467",26,43,1,59
"468",50,43,1,62
"469",109,43,1,66
"470",29,43,1,71
"471",7,43,1,81
"472",12,43,1,83
"473",2,43,2,5
"474",1,43,2,28
"475",3,43,2,35
"476",2,43,2,46
"477",16,43,2,49
"478",2,43,2,52
"479",1,43,2,57
"480",1,43,2,65
"481",1,43,2,66
"482",1,43,3,48
"483",4,43,4,14
"484",3,43,4,20
"485",1,43,4,42
"486",3,43,4,47
"487",2,43,5,3
"488",3,43,5,6
"489",1,43,5,34
"490",2,43,5,42
"491",7,43,5,45
"492",157,43,6,47
"493",15,43,6,74
"494",11,43,7,14
"495",34,43,8,17
"496",1,43,8,30
"497",10,43,8,45
"498",12,43,8,47
"499",1,43,9,3
"500",3,43,9,46
"501",1,43,9,63
"502",3,43,9,67
"503",11,43,10,42
"504",4,43,11,11
"505",2,43,15,10
"506",10,43,15,24
"507",1,43,15,64
"508",8,43,17,27
"509",28,43,18,14
"510",97,43,19,77
"511",6,43,21,28
"512",14,43,22,16
"513",169,43,22,39
"514",61,43,22,42
"515",216,43,22,47
"516",95,43,22,49
"517",73,43,22,52
"518",7,43,23,80
"519",2,43,25,79
"520",2,43,26,47
"521",5,43,27,38
"522",33,43,27,42
"523",1,43,28,9
"524",1,43,28,13
"525",1,43,28,74
"526",35,43,29,47
"527",14,43,29,67
"528",7,43,30,42
"529",3,43,32,18
"530",8,43,33,42
"531",28,43,35,16
"532",17,43,36,2
"533",1,43,36,14
"534",2,43,36,24
"535",1,43,36,26
"536",1,43,36,45
"537",14,43,36,67
"538",82,43,37,73
"539",10,43,38,1
"540",16,43,38,10
"541",5,43,38,80
"542",2,43,39,25
"543",8,43,39,35
"544",18,43,39,47
"545",11,43,42,73
"546",3,43,43,42
"547",1,43,44,20
"548",3,43,44,42
"549",2,43,44,47
"550",23,43,45,47
"551",8,43,46,42
"552",2,43,48,40
"553",165,43,49,42
"554",5,43,50,42
"555",3,43,51,25
"556",10,43,54,28
"557",8,43,59,42
"558",1,43,69,67
"559",7,43,69,79
"560",2,43,70,7
"561",12,43,70,11
"562",8,43,70,25
"563",13,43,70,50
"564",7,43,70,66
"565",16,45,1,3
"566",25,45,1,8
"567",1,45,1,56
"568",1,45,1,71
"569",2,45,2,20
"570",1,45,2,23
"571",1,45,2,42
"572",1,45,2,49
"573",1,45,2,50
"574",27,45,3,48
"575",16,45,7,14
"576",24,45,7,40
"577",7,45,13,3
"578",15,45,14,3
"579",1,45,15,10
"580",17,45,15,24
"581",2,45,16,42
"582",2,45,18,14
"583",3,45,20,8
"584",5,45,21,28
"585",23,45,22,39
"586",3,45,22,47
"587",1,45,22,49
"588",13,45,22,52
"589",3,45,23,80
"590",2,45,25,79
"591",7,45,26,47
"592",8,45,30,20
"593",11,45,31,3
"594",3,45,34,3
"595",5,45,38,80
"596",2,45,39,47
"597",5,45,45,3
"598",27,45,45,47
"599",40,45,48,40
"600",14,45,50,42
"601",40,45,52,8
"602",10,45,57,66
"603",3,46,1,42
"604",4,46,1,56
"605",3,46,1,71
"606",1,46,17,27
"607",2,46,60,21
"608",2,47,65,76
"609",38,48,1,11
"610",2,48,1,42
"611",43,48,1,54
"612",10,48,1,55
"613",46,48,1,56
"614",9,48,2,54
"615",1,48,4,14
"616",1,48,4,20
"617",2,48,4,33
"618",5,48,4,42
"619",141,48,8,11
"620",13,48,8,17
"621",241,48,8,28
"622",2,48,8,30
"623",1,48,8,37
"624",1,48,8,47
"625",3,48,8,54
"626",35,48,8,56
"627",1,48,8,67
"628",7,48,8,72
"629",31,48,11,11
"630",13,48,19,77
"631",14,48,20,28
"632",7,48,21,28
"633",3,48,22,39
"634",1,48,23,80
"635",5,48,30,42
"636",9,48,32,18
"637",1,48,36,47
"638",3,48,40,58
"639",48,48,46,42
"640",4,48,49,42
"641",1,48,50,42
"642",140,48,50,54
"643",8,48,53,69
"644",12,48,55,61
"645",1,48,56,66
"646",25,48,58,71
"647",3,48,59,42
"648",2,48,60,21
"649",8,48,70,11
"650",2,48,70,66
"651",1,49,4,79
"652",3,49,49,42
"653",45,49,60,21
"654",6,50,49,42
"655",9,50,50,42
"656",4,44,49,42
"657",9,51,49,42
"658",2,52,15,10
"659",4,53,57,66
"660",6,54,23,80
"661",1,54,36,30
"662",2,54,53,69
"663",13,54,60,21
"664",67,55,1,3
"665",13,55,1,5
"666",5,55,1,8
"667",1,55,1,11
"668",58,55,1,42
"669",4,55,1,43
"670",8,55,1,54
"671",88,55,1,56
"672",3,55,1,62
"673",1,55,1,81
"674",1,55,1,83
"675",1,55,4,42
"676",7,55,4,83
"677",3,55,8,30
"678",1,55,8,52
"679",2,55,8,73
"680",1,55,13,3
"681",4,55,16,42
"682",1,55,23,80
"683",8,55,29,47
"684",2,55,29,67
"685",9,55,30,42
"686",3,55,34,3
"687",2,56,22,42
"688",1,56,22,47
"689",1,56,49,42
"690",31,57,60,21
"691",1,58,23,80
"692",3,58,25,79
"693",12,58,26,47
"694",2,58,30,42
"695",1,58,31,3
"696",2,58,34,3
"697",60,58,42,73
"698",3,58,68,25
"699",7,59,2,76
"700",3,59,38,46
"701",13,59,49,42
"702",9,59,50,42
"703",1,59,56,66
"704",2,59,65,76
"705",1,59,69,79
"706",2,59,70,7
"707",1,59,70,11
"708",14,60,30,42
"709",3,60,31,3
"710",2,60,34,3
"711",36,60,42,73
"712",1,60,47,24
"713",2,61,5,6
"714",2,61,5,42
"715",1,61,5,78
"716",1,61,30,42
"717",7,61,31,3
"718",1,61,33,42
"719",5,61,49,42
"720",4,62,60,21
"721",8,63,26,47
"722",6,63,31,3
"723",10,64,4,14
"724",1,64,4,20
"725",5,64,4,31
"726",1,64,26,47
"727",4,64,29,47
"728",2,64,49,42
"729",14,64,52,8
"730",4,64,57,66
"731",1,64,61,80
"732",13,65,57,66
"733",87,65,66,31
"734",80,65,66,80
"735",3,66,1,3
"736",1,67,2,52
"737",1,67,2,76
"738",15,67,2,80
"739",1,67,14,3
"740",3,67,15,2
"741",1,67,15,10
"742",19,67,19,77
"743",2,67,23,80
"744",13,67,24,39
"745",16,67,36,2
"746",2,67,49,42
"747",1,68,62,10
"748",1,69,4,31
"749",7,69,4,42
"750",2,70,21,28
"751",2,70,34,3
"752",2,71,4,2
"753",9,71,4,31
"754",4,71,4,33
"755",9,71,4,42
"756",3,71,4,45
"757",3,71,4,47
"758",4,71,4,79
"759",1,71,4,83
"760",5,71,8,60
"761",15,71,20,8
"762",2,71,20,22
"763",3,71,20,36
"764",6,71,20,56
"765",13,71,20,79
"766",23,71,23,80
"767",3,71,34,3
"768",21,71,46,42
"769",2,71,57,66
"770",14,72,1,8
"771",1,72,1,56
"772",2,72,2,7
"773",5,72,2,49
"774",3,72,3,48
"775",1,72,4,2
"776",1,72,4,14
"777",2,72,4,20
"778",1,72,4,31
"779",1,72,4,42
"780",10,72,7,14
"781",4,72,7,40
"782",2,72,8,20
"783",8,72,8,72
"784",1,72,11,11
"785",15,72,17,27
"786",55,72,19,77
"787",3,72,20,8
"788",6,72,20,28
"789",14,72,21,28
"790",2,72,22,47
"791",7,72,30,20
"792",1,72,36,26
"793",2,72,39,35
"794",8,72,39,47
"795",4,72,45,47
"796",12,72,52,8
"797",1,72,59,42
"798",1,72,60,21
"799",7,72,61,80
"800",4,72,62,10
"801",74,72,63,10
"802",1,72,69,79
"803",3,73,15,24
"804",3,73,40,58
"805",94,73,52,8
"806",14,73,56,66
"807",4,73,57,66
"808",1,73,61,80
"809",14,73,62,10
"810",66,73,63,10
"811",1,73,64,31
"812",22,73,65,76
"813",6,74,2,7
"814",1,74,2,20
"815",1,74,2,23
"816",6,74,2,49
"817",13,74,2,76
"818",25,74,2,80
"819",3,74,7,14
"820",2,74,12,57
"821",1,74,15,24
"822",1,74,15,67
"823",1,74,15,75
"824",2,74,16,42
"825",26,74,18,14
"826",3,74,21,28
"827",1,74,22,16
"828",29,74,22,39
"829",34,74,22,42
"830",53,74,22,49
"831",6,74,29,67
"832",1,74,35,16
"833",1,74,37,73
"834",16,74,39,35
"835",3,74,40,58
"836",1,74,45,3
"837",34,74,45,47
"838",36,74,49,42
"839",11,74,50,42
"840",2,74,70,11
"841",2,74,70,50
"842",12,75,1,3
"843",3,75,1,83
"844",1,75,4,2
"845",1,75,4,31
"846",1,75,4,47
"847",3,75,4,79
"848",1,75,4,83
"849",14,75,26,47
"850",2,75,31,3
"851",4,75,34,3
"852",8,75,42,73
"853",44,75,52,8
"854",6,75,57,66
"855",2,75,60,21
"856",12,75,62,10
"857",1,76,34,3
"858",1,76,39,35
"859",15,76,54,28
"860",1,77,60,21
"861",17,78,1,8
"862",3,78,1,62
"863",5,78,2,20
"864",1,78,2,76
"865",4,78,2,80
"866",15,78,3,48
"867",1,78,4,2
"868",1,78,4,14
"869",2,78,4,31
"870",2,78,4,42
"871",3,78,4,47
"872",1,78,4,79
"873",1,78,4,83
"874",31,78,7,40
"875",2,78,8,17
"876",7,78,15,10
"877",21,78,15,24
"878",2,78,15,47
"879",1,78,15,56
"880",2,78,16,42
"881",30,78,20,8
"882",3,78,22,16
"883",5,78,22,39
"884",1,78,22,42
"885",2,78,22,47
"886",18,78,22,49
"887",16,78,22,52
"888",3,78,23,80
"889",2,78,24,39
"890",3,78,28,69
"891",10,78,31,3
"892",5,78,36,2
"893",1,78,36,14
"894",3,78,36,15
"895",11,78,36,24
"896",1,78,36,47
"897",1,78,36,67
"898",11,78,38,10
"899",12,78,38,80
"900",3,78,39,47
"901",12,78,45,3
"902",23,78,45,47
"903",2,78,51,15
"904",8,78,51,25
"905",6,78,52,8
"906",2,78,59,42
"907",4,78,60,21
"908",125,78,63,10
"909",22,78,64,31
"910",4,78,66,31
"911",2,78,67,24
"912",2,78,69,79
"913",1,78,70,11
"914",1,78,70,50
"915",5,79,1,3
"916",5,79,1,8
"917",7,79,1,81
"918",12,79,2,20
"919",2,79,2,23
"920",2,79,2,42
"921",1,79,2,49
"922",98,79,3,48
"923",4,79,4,14
"924",7,79,4,31
"925",6,79,6,47
"926",9,79,7,14
"927",158,79,7,40
"928",8,79,10,42
"929",2,79,13,3
"930",39,79,14,3
"931",4,79,15,10
"932",11,79,15,24
"933",5,79,16,42
"934",74,79,20,8
"935",6,79,21,28
"936",12,79,22,39
"937",8,79,22,42
"938",3,79,22,47
"939",3,79,22,49
"940",3,79,23,80
"941",1,79,25,79
"942",2,79,29,47
"943",25,79,30,20
"944",14,79,31,3
"945",3,79,34,3
"946",3,79,36,2
"947",1,79,36,47
"948",1,79,38,10
"949",17,79,38,80
"950",6,79,39,47
"951",6,79,45,3
"952",22,79,45,47
"953",2,79,48,40
"954",7,79,51,15
"955",88,79,52,8
"956",3,79,57,66
"957",3,79,59,42
"958",18,79,61,80
"959",280,79,63,10
"960",2,79,65,76
"961",60,79,66,31
"962",3,80,1,83
"963",1,80,57,66
"964",5,80,61,80
"965",1,81,8,17
"966",1,81,20,22
"967",2,81,49,42
"968",3,82,2,5
"969",6,82,2,7
"970",2,82,2,45
"971",1,82,2,49
"972",2,82,2,50
"973",1,82,2,76
"974",5,82,4,2
"975",4,82,4,14
"976",6,82,4,20
"977",5,82,4,31
"978",5,82,4,42
"979",4,82,4,45
"980",1,82,4,47
"981",3,82,4,79
"982",7,82,8,17
"983",15,82,8,47
"984",6,82,11,11
"985",1,82,14,3
"986",1,82,15,10
"987",11,82,15,24
"988",4,82,15,47
"989",1,82,15,53
"990",2,82,16,42
"991",2,82,18,14
"992",18,82,21,28
"993",3,82,22,16
"994",5,82,22,39
"995",1,82,22,42
"996",2,82,22,47
"997",9,82,22,49
"998",6,82,25,79
"999",1,82,30,20
"1000",3,82,30,42
"1001",2,82,32,18
"1002",5,82,34,3
"1003",2,82,35,16
"1004",2,82,36,2
"1005",1,82,36,42
"1006",1,82,36,47
"1007",6,82,36,67
"1008",1,82,38,1
"1009",4,82,38,10
"1010",3,82,38,79
"1011",22,82,38,80
"1012",6,82,41,79
"1013",1,82,44,20
"1014",18,82,44,42
"1015",8,82,44,52
"1016",32,82,46,42
"1017",5,82,49,42
"1018",2,82,51,15
"1019",2,82,51,25
"1020",6,82,52,8
"1021",9,82,56,66
"1022",15,82,57,66
"1023",1,82,59,42
"1024",3,82,61,80
"1025",404,82,62,10
"1026",2,82,63,10
"1027",10,82,64,31
"1028",22,82,66,31
"1029",1,82,69,11
"1030",14,82,69,67
"1031",4,82,69,79
"1032",3,83,1,42
"1033",5,83,2,20
"1034",5,83,2,52
"1035",4,83,2,76
"1036",2,83,4,14
"1037",2,83,4,20
"1038",1,83,4,31
"1039",3,83,4,42
"1040",1,83,4,45
"1041",11,83,7,16
"1042",94,83,7,40
"1043",1,83,8,17
"1044",4,83,10,42
"1045",2,83,16,42
"1046",6,83,21,28
"1047",1,83,22,47
"1048",5,83,22,52
"1049",18,83,38,10
"1050",6,83,38,46
"1051",11,83,38,75
"1052",1,83,41,79
"1053",6,83,44,42
"1054",7,83,59,42
"1055",7,83,67,24
"1056",1,83,69,71
"1057",1,83,69,79
"1058",3,83,70,50
"1059",15,84,1,42
"1060",7,85,49,42
"1061",1,85,70,7
"1062",31,86,66,31
"1063",1,87,30,20
"1064",1,88,57,66
"1065",1,89,53,69
"1066",2,89,53,81
"1067",8,90,31,3
"1068",5,90,32,18
"1069",29,90,52,8
"1070",2,91,2,7
"1071",11,91,2,20
"1072",2,91,2,23
"1073",1,91,2,35
"1074",9,91,2,49
"1075",4,91,2,52
"1076",1,91,2,68
"1077",4,91,3,48
"1078",3,91,4,47
"1079",1,91,4,83
"1080",1,91,8,17
"1081",4,91,10,42
"1082",1,91,14,3
"1083",8,91,15,24
"1084",3,91,20,8
"1085",1,91,22,47
"1086",2,91,29,47
"1087",4,91,30,20
"1088",13,91,31,3
"1089",6,91,39,47
"1090",1,91,45,3
"1091",1,91,51,15
"1092",140,91,52,8
"1093",1,91,53,69
"1094",2,91,57,66
"1095",1,91,62,10
"1096",1,92,11,11
"1097",8,92,19,77
"1098",3,92,22,52
"1099",27,92,29,67
"1100",1,92,36,14
"1101",1,92,39,25
"1102",4,92,51,25
"1103",61,92,54,28
"1104",14,93,21,28
"1105",1,93,48,40
"1106",1,94,1,42
"1107",3,94,1,59
"1108",1,94,2,50
"1109",2,94,2,66
"1110",2,94,2,68
"1111",3,94,4,14
"1112",25,94,7,14
"1113",3,94,7,16
"1114",19,94,15,24
"1115",1,94,15,56
"1116",2,94,15,75
"1117",4,94,21,28
"1118",24,94,22,42
"1119",4,94,23,80
"1120",2,94,30,42
"1121",1,94,32,18
"1122",1,94,33,42
"1123",3,94,34,3
"1124",2,94,43,42
"1125",4,94,50,42
"1126",4,94,56,66
"1127",5,94,57,66
"1128",1,94,59,42
"1129",1,94,70,50
"1130",1,95,1,5
"1131",1,95,1,8
"1132",1,95,1,43
"1133",3,95,1,55
"1134",4,95,2,4
"1135",3,95,2,5
"1136",14,95,2,7
"1137",1,95,2,24
"1138",2,95,2,28
"1139",4,95,2,42
"1140",6,95,2,49
"1141",11,95,2,57
"1142",2,95,2,70
"1143",1,95,2,81
"1144",5,95,3,48
"1145",1,95,15,64
"1146",1,95,16,42
"1147",4,95,30,42
"1148",1,95,49,42
"1149",11,95,57,66
"1150",1,95,59,42
"1151",5,96,49,42
"1152",31,97,42,73
"1153",2,98,30,42
"1154",1,99,36,24
"1155",80,100,1,3
"1156",53,100,1,83
"1157",2,100,30,42
"1158",4,100,31,3
"1159",1,100,33,42
"1160",5,100,34,3
"1161",7,100,42,73
"1162",2,100,49,42
"1163",5,101,6,47
"1164",7,101,31,3
"1165",53,101,39,35
"1166",1,101,42,73
"1167",10,101,54,28
"1168",2,102,8,47
"1169",13,103,29,47
"1170",2,104,6,47
"1171",2,104,36,2
"1172",1,105,53,81
"1173",6,105,56,66
"1174",14,105,57,66
"1175",2,107,4,2
"1176",4,107,4,42
"1177",3,107,4,47
"1178",4,107,8,30
"1179",7,107,8,60
"1180",26,107,46,42
"1181",16,107,57,66
"1182",1,107,58,71
"1183",4,107,64,31
"1184",39,107,66,31
"1185",1,107,66,80
"1186",3,108,1,42
"1187",1,108,2,81
"1188",10,108,8,17
"1189",1,108,13,3
"1190",5,108,27,38
"1191",1,108,30,20
"1192",4,108,30,42
"1193",2,108,31,3
"1194",3,108,33,42
"1195",1,108,49,42
"1196",13,108,52,8
"1197",1,108,69,71
"1198",1,109,1,42
"1199",1,109,5,34
"1200",1,109,5,45
"1201",3,109,21,28
"1202",2,109,22,52
"1203",16,109,42,73
"1204",3,109,45,47
"1205",2,109,60,21
"1206",1,109,64,31
"1207",1,110,1,42
"1208",4,110,2,5
"1209",1,110,2,7
"1210",1,110,2,16
"1211",1,110,2,23
"1212",7,110,2,45
"1213",3,110,2,49
"1214",2,110,2,50
"1215",3,110,2,52
"1216",2,110,2,68
"1217",28,110,2,76
"1218",5,110,2,80
"1219",60,110,3,48
"1220",5,110,4,2
"1221",4,110,4,14
"1222",3,110,4,20
"1223",1,110,4,31
"1224",1,110,4,42
"1225",9,110,7,14
"1226",3,110,8,11
"1227",2,110,8,20
"1228",2,110,8,30
"1229",3,110,8,47
"1230",9,110,8,72
"1231",2,110,9,3
"1232",2,110,9,12
"1233",12,110,9,13
"1234",1,110,9,25
"1235",17,110,9,28
"1236",4,110,9,67
"1237",1,110,9,73
"1238",11,110,10,42
"1239",3,110,11,11
"1240",24,110,12,57
"1241",10,110,13,3
"1242",4,110,15,10
"1243",27,110,15,24
"1244",8,110,15,56
"1245",1,110,15,75
"1246",6,110,16,42
"1247",28,110,18,14
"1248",116,110,19,77
